Street code,Date ,Start Time,End Time,Temperature (°C),Cloud Cover code,Beaufort scale ,Day of Week ,Species ,Bird Scientific Name ,Behaviour,Time of Observation,Plant species,Scientific Name ,DBH,Notes
S15,29/05/2024,7:54,8:14,13,1,2,Wednesday ,EUST,Sturnus vulgaris,Gape,7:58,Ground,NA,NA,
S15,29/05/2024,7:54,8:14,13,1,2,Wednesday ,HOSP,Passer domesticus,Perch,7:59,European linden,Tilia × europaea,54,
S15,29/05/2024,7:54,8:14,13,1,2,Wednesday ,HOSP,Passer domesticus,Peck,7:59,Ground,NA,NA,
S15,29/05/2024,7:54,8:14,13,1,2,Wednesday ,HOSP,Passer domesticus,Perch,8:00,Silver maple,Acer saccharinum,4,
S15,29/05/2024,7:54,8:14,13,1,2,Wednesday ,HOSP,Passer domesticus,Perch,8:01,Common hackberry,Celtis occidentalis,16,
S15,29/05/2024,7:54,8:14,13,1,2,Wednesday ,HOSP,Passer domesticus,Peck,8:01,Ground,NA,NA,
S15,29/05/2024,7:54,8:14,13,1,2,Wednesday ,HOSP,Passer domesticus,Perch,8:01,Common hackberry,Celtis occidentalis,16,
S15,29/05/2024,7:54,8:14,13,1,2,Wednesday ,HOSP,Passer domesticus,Peck,8:01,Ground,NA,NA,
S15,29/05/2024,7:54,8:14,13,1,2,Wednesday ,HOSP,Passer domesticus,Peck,8:05,Ground,NA,NA,
S15,29/05/2024,7:54,8:14,13,1,2,Wednesday ,HOSP,Passer domesticus,Peck,8:05,Ground,NA,NA,
S14,29/05/2024,8:41,9:01,13,1,2,Wednesday ,HOSP,Passer domesticus,Perch,8:46,European linden,Tilia x europaea,61,"TUVU, garbage truck, 2 cats, wrong side of street at start."
S14,29/05/2024,8:41,9:01,13,1,2,Wednesday ,CHSP,Spizella passerina,Vocalize,8:57,Blue spruce,Picea pungens,44,
S18,29/05/2024,9:20,9:40,13,1,2,Wednesday ,CHSP,Spizella passerina,Vocalize,9:24,White spruce,Picea glauca,20,"Moved street segment away from intersection due to lack of trees. Heard REVI, BHVI, and HOFI among many others. Freeze throw a couple years ago, had to cut down lots of big maples due to cracks down their middles. Make it out here at 6am. Possible ARU location."
S18,29/05/2024,9:20,9:40,13,1,2,Wednesday ,YBFL,Empidonax flaviventris,Vocalize,9:31,White spruce,Picea glauca,20,
S18,29/05/2024,9:20,9:40,13,1,2,Wednesday ,YBFL,Empidonax flaviventris,Sally,9:31,Norway maple,Acer platanoides,76,
S18,29/05/2024,9:20,9:40,13,1,2,Wednesday ,HOSP,Passer domesticus,Glean,9:37,White spruce,Picea glauca,20,
S18,29/05/2024,9:20,9:40,13,1,2,Wednesday ,CHSP,Spizella passerina,Glean,9:40,White spruce,Picea glauca,20,
S18,29/05/2024,9:20,9:40,13,1,2,Wednesday ,CHSP,Spizella passerina,Vocalize,9:40,Norway maple,Acer platanoides,76,
S18,29/05/2024,9:20,9:40,13,1,2,Wednesday ,CHSP,Spizella passerina,Glean,9:40,White spruce,Picea glauca,20,
S18,29/05/2024,9:20,9:40,13,1,2,Wednesday ,CHSP,Spizella passerina,Vocalize,9:40,White spruce,Picea glauca,20,
S18,29/05/2024,9:20,9:40,13,1,2,Wednesday ,CHSP,Spizella passerina,Vocalize,9:40,Norway maple,Acer platanoides,76,
S18,29/05/2024,9:20,9:40,13,1,2,Wednesday ,HOSP,Passer domesticus,Glean,9:40,White spruce,Picea glauca,20,
S18,29/05/2024,9:20,9:40,13,1,2,Wednesday ,HOSP,Passer domesticus,Glean,9:40,White spruce,Picea glauca,20,
S01,30/05/2024,7:03,7:23,11,1,1,Thursday,AMGO,Spinus tristis,Glean,7:14,Silver maple,Acer saccharinum,72,Construction noise. BLPW heard. 
S01,30/05/2024,7:03,7:23,11,1,1,Thursday,AMGO,Spinus tristis,Glean,7:14,White spruce ,Picea glauca,59,
S01,30/05/2024,7:03,7:23,11,1,1,Thursday,AMGO,Spinus tristis,Perch,7:14,White spruce ,Picea glauca,59,
S01,30/05/2024,7:03,7:23,11,1,1,Thursday,CHSP,Spizella passerina,Vocalize,7:19,White spruce,Picea glauca,59,
S02,30/05/2024,7:40,8:00,11,1,1,Thursday,HOSP,Passer domesticus,Vocalize,7:49,Honey locust,Gleditsia triacanthos,5,"CEDW flock overhead, BLPW heard. "
S02,30/05/2024,7:40,8:00,11,1,1,Thursday,HOSP,Passer domesticus,Hop,7:50,Ground,NA,NA,
S02,30/05/2024,7:40,8:00,11,1,1,Thursday,BCCH,Poecile atricapillus,Glean,7:56,Red ash,Fraxinus pensylvannica ,50,
