Yard Code,Species Code,Species Latin,Sampled area (m) ,Sampled Area (ha),DBH(cm) ,DBH Round,Presence of hedge ,basal,Index,,,,,,,,,,,,,,,,,,,,,,,,
Y37,TACA,Taxus Canadensis,120,0.012,7.8,8,no,0.004778374,234,,,,,,,,,,,,,,,,,,,,,,,,
Y40,ULPU,Ulmus Pumila,350,0.035,68.8,69,yes,0.371764378,235,,,,,,,,,,,,,,,,,,,,,,,,
Y40,ACPL,Acer Platanoides,350,0.035,32.6,33,yes,0.08346917,236,,,,,,,,,,,,,,,,,,,,,,,,
Y40,PIGL,Picea Glauca,350,0.035,44.8,45,yes,0.157632922,239,,,,,,,,,,,,,,,,,,,,,,,,
Y40,PIRU,Picea Rubens,350,0.035,45,45,yes,0.1590435,240,,,,,,,,,,,,,,,,,,,,,,,,
Y40,SYRE,Syringa Reticulata,350,0.035,17.6,18,yes,0.02432855,241,,,,,,,,,,,,,,,,,,,,,,,,
Y40,MASY,Malus Sylvestris,350,0.035,35.3,35,yes,0.097867909,242,,,,,,,,,,,,,,,,,,,,,,,,
Y40,CEOC,Celtis Occidentalis,350,0.035,9.1,9,yes,0.006503897,243,,,,,,,,,,,,,,,,,,,,,,,,
Y40,FRAM,Fraxinus Americana,350,0.035,60.4,60,yes,0.286526486,244,,,,,,,,,,,,,,,,,,,,,,,,
Y40,PIPU,Picea Pungens,350,0.035,26.8,27,yes,0.05641057,245,,,,,,,,,,,,,,,,,,,,,,,,
Y40,TACA,Taxus Canadensis,350,0.035,18.2,18,yes,0.02601559,246,,,,,,,,,,,,,,,,,,,,,,,,
Y40,AMCA,Canadian Serviceberry,350,0.035,16.1,16,yes,0.020358353,250,,,,,,,,,,,,,,,,,,,,,,,,
Y42,ACSA,Acer Saccharinum,160,0.016,231.6,232,no,4.212772502,265,,,,,,,,,,,,,,,,,,,,,,,,
Y42,ROPS,Robinia Pseudoacacia,160,0.016,8.3,8,no,0.005410621,266,,,,,,,,,,,,,,,,,,,,,,,,
Y43,ULAM,Ulmus Americana,300,0.03,55.7,56,no,0.243669565,267,,,,,,,,,,,,,,,,,,,,,,,,
Y43,PIGL,Picea Glauca,300,0.03,43,43,no,0.14522046,268,,,,,,,,,,,,,,,,,,,,,,,,
Y43,ULPU,Ulmus Pumila,300,0.03,68.4,68,no,0.367454102,269,,,,,,,,,,,,,,,,,,,,,,,,
Y44,QUBI,Quercus Bicolor,180,0.018,103.5,104,no,0.841340115,270,,,,,,,,,,,,,,,,,,,,,,,,
Y44,TACA,Taxus Canadensis,180,0.018,5.6,6,no,0.002463014,271,,,,,,,,,,,,,,,,,,,,,,,,
Y44,PIRU,Picea Rubens,180,0.018,5.6,6,no,0.002463014,272,,,,,,,,,,,,,,,,,,,,,,,,
Y45,ACPL,Acer Platanoides,110,0.011,81.6,82,no,0.522963302,273,,,,,,,,,,,,,,,,,,,,,,,,
Y45,ACPL,Acer Platanoides,110,0.011,151.2,151,no,1.795537498,274,,,,,,,,,,,,,,,,,,,,,,,,
Y45,LOXY,Lonicera Xylosteum,110,0.011,25.5,26,no,0.051070635,275,,,,,,,,,,,,,,,,,,,,,,,,
Y45,ACPL,Acer Platanoides,110,0.011,47.8,48,no,0.179451334,276,,,,,,,,,,,,,,,,,,,,,,,,
Y46,PIRU,Picea Rubens,700,0.07,44.3,44,yes,0.154133965,277,,,,,,,,,,,,,,,,,,,,,,,,
Y46,FRPE,Fraxinus Pennsylvanica,700,0.07,7.8,8,yes,0.004778374,278,,,,,,,,,,,,,,,,,,,,,,,,
Y46,ACPL,Acer Platanoides,700,0.07,28.6,29,yes,0.064242578,279,,,,,,,,,,,,,,,,,,,,,,,,
Y46,ACPL,Acer Platanoides,700,0.07,17.5,18,yes,0.024052875,280,,,,,,,,,,,,,,,,,,,,,,,,
Y46,ACPL,Acer Platanoides,700,0.07,5.5,6,yes,0.002375835,281,,,,,,,,,,,,,,,,,,,,,,,,
Y46,ACNE,Acer Negundo,700,0.07,52.2,52,yes,0.214008934,282,,,,,,,,,,,,,,,,,,,,,,,,
Y46,ACPL,Acer Platanoides,700,0.07,7.6,8,yes,0.00453647,283,,,,,,,,,,,,,,,,,,,,,,,,
Y46,ACPL,Acer Platanoides,700,0.07,5,5,yes,0.0019635,284,,,,,,,,,,,,,,,,,,,,,,,,
Y46,ACPL,Acer Platanoides,700,0.07,7.3,7,yes,0.004185397,285,,,,,,,,,,,,,,,,,,,,,,,,
